Species,Lower Avoidance,Optimum,Upper Avoidance,Comments/Updates,,
Albacore,59,62-65,66,¿,,
Amberjack,60,65-75,80,¿,,
Atlantic Bonito,60,65-75,80,¿,,
Atlantic Cod,31,44-49,59,¿,,
Atlantic Mackerel,40,45-55,70,¿,,
Barracuda,55,72-80,86,RDS (Florida),,
Bigeye Tuna,52,62-74,80,RDS (Equador),,
Blackfin Tuna,65,70-75,82,¿,,
Black Marlin,68,72-82,87,RDS (Panama/C.R.),,
Bluefin Tuna,50,60-72,82,RDS (Cozumel),,
Bluefish,50,66-72,84,¿,,
Blue Marlin,70,74-82,88,¿,,
Bonefish,60,72-84,92,RDS (Florida),,
Dolphin (fish),70,72-78,82,¿,,
Fluke (Summer Flounder),56,62-66,72,¿,,
Haddock,36,42-48,52,¿,,
Jack Crevalle,65,70-85,90,¿,,
Kelp Bass,62,64-68,72,¿,,
King Mackerel,65,68-76,88,¿,,
Permit,70,75-85,92,RDS (Florida),,
Pollock,33,40-50,60,¿,,
Pompano,65,70-82,85,¿,,
Red Drum (Channel Bass),52,70-90,90,RDS (Florida),,
Red Snapper,50,55-65,70,¿,,
Sailfish,68,72-82,88,¿,,
Skipjack Tuna,50,58-62,70,¿,,
Snook,60,70-82,90,¿,,
Spotted Seatrout,48,68-78,88,¿,,
Striped Bass,50,55-65,75,T. Mleczko,,
Striped Marlin,61,68-76,80,¿,,
Swordfish,50,60-70,80,¿,,
Tarpon,70,75-90,100,Once at 62F,,
Tautog,45,50-60,76,Updated info from SWS reader,,
Weakfish,45,56-68,78,¿,,
White Marlin,65,68-78,80,¿,,
White Seabass,58,64-68,74,¿,,
Winter Flounder,35,48-52,64,¿,,
Yellowfin Tuna,64,72-82,80,RDS (All Oceans),,
Yellowtail (Pacific),60,62-66,70,¿,,
